Review,Sentiment
Nothing to mention,0
"Excellent property , staff are very helpful and polite , front desk nimfa excellent , loved everything about this , will stay again .",0.725
Been accused of taking food from minibar and told I did.... very rude of staff,-0.39
Aryan Saxena was very apologetic when he realised we were compromised at hotel with problems there...that was nothing from my end...I liked his offer of dining room as peaceful gesture to make everything fine 🙏,0.366667
"A great, but expensive, taste of luxury in Delhi
 Convenient location for the airport
 Very helpful staff",0.166667
A lil more landscaping would have been good,0.6
Location and facilities,0
Rooms are a bit old school but gives a taste of royal india,0.1
Everything about the property,0
Everything was amazing but valet is a bit slow.,0.15
"Asked to wait for 25 minutes for Breakfast.
 Hotel may arrange alternate/ additional arrangements for breakfast locations.",0
View,0
Nice,0.6
"Queuing for breakfast, construction noise (had to switch room after suffering first night)",0.25
"Ambience, location, hospitality, breakfast options",0
We went to Capital's kitchen.. nd it was ohk.. their menu on buffet was balanced but I wouldn't call it lavish.. breakfast was much better than dinner.,0.5
Taj palace was in our bucket list.. nd we made it.. amazing hospitality and property.. spent an entire day. Vibe ..crowed..amenities..all like up to themark.. I gone crazy.. loved it...,0.12
"Dinner was also sumptuous and especially Chef Sanjeev sharma shown very courteous behavior whatever we requested, also very tasty. Breakfast was also wonderful 😋",0.495
Nothing,0
I loved my stay at Taj. Beautiful hotel and the staff are extremely helpful. The restaurants serve amazing food. Breakfast was also excellent.,0.605
"Room appeared smaller, There was no central Switch next to the bed",0
"Breakfast was great, Service of Aakash on 21 Jul 24 was exceptional.",0.733333
Nothing dislike,0
"Excellent welcoming guests,",1
The room I booked was not available there was huge construction sounds and the room was allotted 3 hrs late which I did not expect and my travel plans were hugely impacted and even my lunch time was impacted.,0.075
After a long wait bigger room was allotted which I did not ask for but still the room was very impressive,0.316667
Little overcrowded during peak meal times,-0.1875
"Amazing staff- made our anniversary really special, Shikha went out of her way to make our trip really memorable. Must visit for families with kids.",0.485714
"You have to take an uber to the places you want to see, but it is worth it for the stay.",0.3
"Traveling alone as a female this was a really great place. The breakfast was amazing and I felt very safe after being in the chaos of Delhi! I would really recommend this place to relax. They also had a great gym and spa.
 The staff was so kind and did not ask for more money or anything like lots of other places.",0.465278
Customer care support team and reservation team communication could have been better . There was a booking with same name on different dates and that created a lot of confusion leading to a bit stress and wastage of precious afternoon of my wife's birthday.,0.25
"Everything was excellent . The restaurant Loya was amazing, pool was pleasant with warm water . They even decorated the room for Birthday and arranged a complimentary cake .",0.646667
Nothing,0
Everything from the moment we stepped in until we left were amazing. Great care and friendly service from everyone we came across. A true Taj landmark hotel,0.425
The quilts seem old and worn out and my wife and me were left feeling cold in the room. We could have asked for a replacement and I am sure a brand like Taj would have replaced it. Nevertheless this is one area that needs improvement.,0
Excellent location and a very well maintained property with very polite and helpful staff.,0.466667
-,0
Welcome at the reception far exceed the expectation.,0.45
"The hotel was undergoing some minor construction. Unfortunately, we were placed in rooms too close to the construction. We needed to shift rooms once due to fumes. The second room brought construction noises. Not very relaxing.",-0.155
"Lovely breakfast, beautiful lobby, attentive staff",0.583333
I loved it all.,0.7
"This hotel is a Taj - of course it is exceptional. The team are caring and helpful, the surroundings luxurious. I loved the spa treatment (thank you Jenny) which exceeded expectations (even for a Taj).",0.683333
Room size would have been a bit large but it's okay.,0.357143
"I liked almost everything but I would like to emphasize in mentioning about the front office reception lady by name Roshi Joshua, who is truly professional and incredibly amazing with her exceptional kindness, patience, fine finesse and flawless perfection in her work specifically customer friendly and helpful way is beyond and above and definitely is a pearl extra mile. Kudos to her and all your team for such a great delightful and highly cherished experience in your hotel. Hope to visit again. Stay Blessed and keep up the great job!!!",0.447889
"Unlike ITC, this hotel did not offer happy hours.",0.8
"Breakfast was good. Lot of options to skip lunch. Masala tea served in room was excellent. In dinner, Paneer Tikka was really tasty.",0.633333
"Restaurants and room services are highly expensive. 
 It is a great hotel for those who can easily afford it.",0.244444
"Very clean and comfortable room. 
 Breakfast was so good!!! I would eat there 3 times a day if I could.",0.625556
"Nothing to mention over here, Everything was satisfactory.",0
"Staff was very professional and cooperative. I had toothache and couldn't chew the food. Requested if I could get a smoothie and I was served with a very delicious and nutritious smoothie and the staff recommended a pain killer medicine available over the counter, which was very effective. I couldn't ask for more.",0.562
"The restaurant (capital kitchen) is very good, but quite overpriced.
 The room we had booked was expected to be for 4 people, so I expected something like 2 double beds, but we only got one double bed and an additional bed, so the kid had to sleep with us on the double bed.",0.101429
"We arrived early in the morning and they managed to arrange early check-in with no additional payment, which was great. 
 The rooms and the hotel overall are great. 
 We had a really nice view towards the pool from our room. 
 The hotel is located in a nice area of the city.",0.428571
"Very grand hotel , great staff . Superb restraunts",0.816667
Nothing to mention,0
Very good,0.91
Room size and food,0
Hotel ambience and location was great,0.8
No words to say,0
Superb,1
Please do not keep chicken items and pork at one place,-0.6
The cleanliness is excellent along with the staff and service.,1
Nothing,0
"Great service and yummy fresh food, room was very comfortable and facilities are Top Class, great experience overall",0.486667
N/A,0
"Staff in particular: Vikas, Vishal, Sanjeev, Mani and housekeeping personnel who cleaned room#840 weren’t able to get his name.",0.333333
"Staff Behavior, Cleanliness, Room",0
The was no room of error which I could feel for not being satisfied. I would be lying if I would say that I was not happy.,0.05
The dinner arrangement and the service was just amazing. Even though the place was full the staff managed it very well and unto our expectations. I personal feel that the food and the management at the Resturant was the best experience during our stay.,0.43
Taking the breakfast outside in the garden was difficult to find a seat.,-0.25
"Room was very nice, clean, great view and relaxed space. breakfast, room service and friendliness of personnel were excellent.",0.736667
"The hotel was very clean and staff were very polite and cooperative. The food was delicious. We had dinner and breakfast at the Capital Kitchen and every dish was tasty. They have made baby food as well for my son. Also, we the room was upgraded free of cost as this was our first visit. Check in was smooth and Arbaaz was very helpful. Even we received a gift from staff. Thanks for making the stay memorable.",0.402963
Food options were slightly limited during breakfast. Although the taste of the items available was really good.,0.342857
"The ambience of the hotel and especially the lobby was really good. Moreover, at the check-in when they got to know that we were there for celebrating a birthday, they arranged the decoration of our room and delivered a cake just before midnight as complementary. A really nice gesture from their end.",0.433333
Room size and location,0
Rooms are very old renovations are required,0.13
Brake fast,0.2
Ambience & Services,0
I love the property & location,0.5
everything was too good .,0.7
"breakfast and dinner buffet were exceptional and never had such delicious dishes in a buffet. staff was exceptinally well behaved and were very helpful , suggestive and helpful.",0.466667
Nothing to highlight,0
Customer Experience provided by the Taj Palace Staff,0
"Luxury, very clean and comfortable rooms. Amazing restaurant for breakfast and the cafe in the lobby.",0.492222
"Nothing but praise for my stay here and the excellent staff. When I checked in, I was given a complementary late check out as my flight was later in the afternoon. The breakfast buffet was one of the best I've ever had - not only food but the incredibly attentive staff. They were so helpful in arranging for me to have food from the a la carte menu when it was supposed to be a brunch buffet as it was almost ending and I had a flight later on - not only that but they brought over a free dessert. The service was honestly exceptional. 
 Also the beds were the most comfortable I stayed on during my trip to India and the room had every possible amenity I could need.",0.312821
The restaurant was always packed and not organised . The rooms need a upgrade,0
The pool,0
"Price. Expensive, though worth it. The location is not the best in Delhi, but you don’t feel it because of the cheap coast of taxis",0.3
"Amazing service, high level facilities, prestige",0.38
Pool food and service,0
Rooms are on smaller side and not enough space to accommodate a crib bed.,0
"Staff was great, brijesh in dinning was wonderful and took great care of us. Breakfast was excellent and service was on point.",0.9
Very busy with a wait for breakfast,0.13
Went out of their way to cater for all of our needs,0
Double Billing # Double payment,0
Excellent staff,1
Its clean and the staff is really helpful,0.283333
Nothing in particular,0.166667
I like the location and swimming side view from our rooms.,0
This hotel is one of its kind. It's extremely professional and high class. Clean and comfortable. The hotel is one of the best I have ever been to. It's bit high on price but worth every penny.,0.385833
Breakfast was fantastic. The room was clean and comfortable. The staff was so hospitable. Really fantastic staff.,0.391667
Impressive facilities and services. Staff were super helpful and friendly.,0.569444
The staff were very co-operative with any requests and went extra miles to make our journey enjoyable.,0.233333
"We stayed several days to continue our trip other places in india for return for a nite stay three rooms before taking return flight to USA.
 Local flights had weight restriction - wanted to park some luggage till we returned for last nite stay of three rooms.
 Concierge manager was least cooperative and never even made an effort to accomodate.
 Next time we know where to stay.
 On several previous vacations - Oberoi happily offered this courtsey.",0.023148
Good,0.7
Buffet could have been better,0.5
"Hospitality, every service received by all the staffs were exemplary. Special thanks to Laxmi as she made by baby very happy with a special surprise gift.",0.478571
The personal its so slow ….they have afraid to take decisions,-0.3
Location,0
There is no gaming zone,0
Good location and good facilities,0.7
Dinner i went once and felt vegetarian option was bit less esp vegetarian starters but maybe it was only on the day i visited but otherwise no complaints,-0.08333
N/A,0
Everything,0
Nothing.,0
"the whole experience from before the check in to the eventual check out was seamless.
 Very responsive and helpful staff at all times.
 We had a slight issue with the bathroom but the team responded immediately and gave us an upgrade.",0.083333
Slow lifts,-0.3
Wonderful stay,1
rooms are small,-0.25
excellent break fasr and outstanding service,0.75
"Clean 
 Clean air
 Good breakfast 
 Lovely staff
 Good spar
 Good location",0.555556
Nothing,0
Breakfast.,0
N/A,0
Rooms and friendly staff,0.375
"The check-in area is the face of the hotel, but the staff were very mechanical and unsmiling.
 The fact that you had to stand in a corner at the back when checking out, in a different place than checking in, not so smart image for the hotel.",0.103571
"I was impressed by the kindness and service of the breakfast team chefs, especially Mani, Sameer & Raman. 
 Thanks to them, it became a place I would love to visit again.",0.425
The breakfast area is too small . We were asked to have breakfast in one of their wedding halls due to space constraints.,-0.1875
The ambience and the room,0
The breakfast quality can be improved.,0
The property has exceptional open space for kids to play in garden. The temperature controlled swimming pool and other spa facilities were just excellent. These things are very difficult to find in middle of Delhi which is notoriously one of the most polluted cities in the world.,0.19881
Some of the restaurants and bars a bit pricey,0
Amazing staff and vibe,0.6
Everything was good,0.7
Everything is top class,0.5
"The ambience of the hotel was outstanding. The film awards were being presented whilst we were there and this added to the excitement. The combination of flame mahogany and white marble was wonderful. The soft furnishings were beautiful. I spent time just admiring the combination of all the interior of the hotel and the staff who were immaculately dressed.
  
 Food and beverage.
 Whilst traveling around India and as we are English we have experienced difficulty in accessing an English cup of tea however your chief who I asked for his help made us tea perfectly.
 His name is PREM he was most helpful and a pleasure to talk with. We give him 10 out of 10 he has made the best English cup of tea in India. Excellent Ann an Colin xxx
 .",0.475
"Had convince Check in staff for large bed bed.
 Front office Staff was not accommodating.",0.214286
Excellent breakfast and dinner outdoors,1
thoughtful at checkin,0.4
Not one thing,0
"The shear luxury of this hotel was beyond our expectations, from the moment the taxi door was opened until the moment we left , the staff are exemplary and the hotel , one of the best we have stayed in around the world",0.5
"Staff were so kind and polite, hotel was wonderful",0.8
"Great location , fabulous facilities, and wonderful facilities. Will definitely be returning in the near future.",0.383333
Breakfast was excellent. Location and overall experience was top notch,0.5
"The room felt a little old compared to the hotel.
 Although I was generally satisfied with the restaurant,but refills of coffee for breakfast did not arrive easily.",0.211458
"The hotel has a luxurious feel and clean , and the service and staff are excellent. Even though we arrived early, we were given an Indian-style welcome ceremony and we got a room ready right away.
 The staff are all friendly and helpful.",0.446769
Pool side restaurant was expensive.,-0.5
Staff was very nice and professional. Upgraded us to a suite. Room was clean with sufficient supply of bottled water.,0.415556
Nothing,0
It’s beautiful,0.85
"Housekeeping service was excellent and extremely friendly staff be it for housekeeping, room service, front office or breakfast staff, they all have been very polite and always helpful and smiling.",0.525
Felt a shift in the attitude of the staff from before about interaction with customers & their requests,0
Its Taj Palace so expect everything to be perfect,1
"Excellent location, beautiful decoration, very nice and helpful staff",0.876667
Nothing comes to mind,0
Location,0
Excellent check in process. Well trained staff that are very attentive.,0.76
"Hotel went above and beyond, making the experience memorable.",0.25
Nothing,0
Everything,0
"The staff were the most friendly I've ever encountered. We were so well treated, they were very kind to my kids and made sure to provide us the best experience possible. The hotel is beautiful and the entry hall smells amazing. Breakfast was excellent.",0.622778
Facilitys,0
"The staff!!!
 From lawn to top floor.",0.5
Cleanliness and good behaved staff,0.7
"The hotel building exterior could do with a facelift, cracks in plaster or concrete and paint work",0.15
The staff were wonderful and extremely accommodating,0.4375
Not applicable!,0
"The view overlooking the trees was lovely. The staff bent over backwards to make me comfortable and made sure I had my packed breakfast and passport when I left. The food, service and pianist in the French restaurant was the best I've ever experienced. Superb!",0.525
"breakfast, dinner",0
Twin brother waiters were very friendly and was having positive attitude towards guest,0.357386
Excellent location and a very helpful and attentive staff.,0.533333
Bed was a bit old and tired and could have been more comfortable,0.15
"Friendly staff, excellent breakfasts, good gym",0.691667
"The dinning options, especially for veg were not much however manageable. I hoped it could've been better.",0.133333
"The rooms are decent and met expectations to the price point it was offered. In my room, in the washroom, the tiles were cracked and palling off. I expected that the hotel could have taken care of it.",0.033333
The Taj Palace Delhi has grown old. Really old . Needs a structural makeover. Long over due. Things seems to be crumbling and seems dusty and dirty around the corners.,-0.1625
Taj has its act together. Seamless experience. Great Food. Systems in place. Special mention of the Traditional indian values fused well into the 21st century Hospitality,0.251429
Nothing,0
"Reception staff was very good 
 Specially on 7th floor we met receptionist named Khushi ji she is very polite and calm as on that day my sister birthday she upgrade our room from superior to taj club luxury room and also gives us access to taj lounge for tea and snacks and send cake for birthday celebration great staff great hotel",0.58102
Everything were amazing.,0.6
"Amazing location, property and staff. Dinner at Loyas and breakfast was amazing. Chef Nand Joshi made us feel very special.",0.554762
Check in wasn’t very smooth and took some time,0.52
Well decorated hotel with good amenities. Good main restaurant with a nice selection.,0.541667
Restaurant,0
Lack of bed options for families,0
Food was excellent. Room was average sized with lot of wasted space that could have been planned well.,0.216667
Stay was good but the food (dinner) served on 10th July at capital kitchen as a part of my package was very disappointing.Not upto the level of Taj.,0.45
Location and staff behaviour.,0
Masala chai could be be better,0.5
Excellent breakfast with wide range of of varieties.,0.45
Better breakfast menu and variety.,0.5
Great customer service. Excellent atmosphere. Good food and friendly staff.,0.71875
Nothing,0
Food and services,0
The bar lounge service,0
The courtesy of staff and hospitality,0
The lounge bar service,0
The courtesy of staff and the hospitality,0
None,0
"1. The receptionists, along with the other staff of the hotel, were very friendly and caring.
 2. They offer flexible meal plans and adjust them to suit my requirements.
 Even though my check-in time was in the afternoon, they welcomed us in the morning and I was promptly given a room.
 3. When we returned to the hotel after an outing, we were pleasantly surprised to find a photograph of my family placed on the table in my room. The staff who had helped us take some snapshots had taken the initiative to print a copy of the same photo and placed it in the room. This thoughtful gesture truly surprised all of us.",0.160417
Had to wait few minutes for breakfast as it was crowded,-0.2
"Warm welcome of guests in traditional way, Great atmosphere, access to launge and complimentary high tea, very goog bathroom facilities, great location",0.4575
"Location 
 Staff",0
"Location
 F&B",0
Nothing,0
Perfect in every way,1
Nothing,0
Cleaniness and customer service!!,0
Concurrent Wedding made it look busier,0
"Fabulous 
 Location was great
 Finding a large green space in Delhi in the hotel area was highlight
 Rooms were spacious and it was very comfortable stay having a room on poolside view
 Our personal manger Poorti Agarwal has made our stay a long lasting memory as upon realising our children graduating as doctors she decorated our room with balloons and left cake. Cards. No family photo which was very touching and we are so thankful as can’t stop talk about the moment as chill over this. We can’t wait to come back again and again",0.212208
Love it 😍,0.5
The best,1
The breakfast was very good but was lacking a little bit of European flavors.,0.240833
Very big hotel in one of the safest locations in the city. The rooms were very large with cleaning service twice a day.,0.139286
"This hotel is a non-smoking zone, you are able to smoke only at one place at the hotel, by the pool.",0.25
"Everything was exceptional, as usual with staying at Taj. I arrived 4 hours prior to check-in, and wasn't expecting to check-in right away, but my room was ready without any extra charges. Breakfast was very delicious.",0.271769
could not fault,0
everything was 5 star,0
Nothing,0
"Hospitality, rooms, ambience, food",0
